,case,rmse,chi,privacy,real,uniform,uniform2,nclasses,uniform_original
0,1ftt_2_uniform,19.79898987322333,0.7841536941240483,1,f,1,1,2,1
1,1ttt_2_uniform,0.0,0.0,1,t,1,1,2,1
2,1mtt_2_uniform,19.79898987322333,0.7859649122807018,1,m,1,1,2,1
3,1tffNone_2_uniform,0.0,0.0,1,t,0,0,2,1
4,1fff_2_uniform,45.254833995939045,4.100198603369851,1,f,0,0,2,1
5,1mff_2_uniform,42.42640687119285,3.600129604665768,1,m,0,0,2,1
6,1ftt_2_uniform,22.627416997969522,1.0242622111260484,1,f,1,1,2,1
7,1ttt_2_uniform,0.0,0.0,1,t,1,1,2,1
8,1mtt_2_uniform,11.313708498984761,0.25608297088256593,1,m,1,1,2,1
9,1tffNone_2_uniform,0.0,0.0,1,t,0,0,2,1
10,1fff_2_uniform,127.27922061357856,32.66458312329872,1,f,0,0,2,1
11,1mff_2_uniform,16.97056274847714,0.576002304009216,1,m,0,0,2,1
12,1ftt_2_uniform,2.8284271247461903,0.016000064000255998,1,f,1,1,2,1
13,1ttt_2_uniform,0.0,0.0,1,t,1,1,2,1
14,1mtt_2_uniform,14.142135623730951,0.40005760829559456,1,m,1,1,2,1
15,1tffNone_2_uniform,0.0,0.0,1,t,0,0,2,1
16,1fff_2_uniform,93.33809511662427,17.500231006263284,1,f,0,0,2,1
17,1mff_2_uniform,7.0710678118654755,0.10010250496508424,1,m,0,0,2,1
18,1ftt_2_uniform,14.142135623730951,0.4000400040004001,1,f,1,1,2,1
19,1ttt_2_uniform,0.0,0.0,1,t,1,1,2,1
20,1mtt_2_uniform,62.22539674441618,7.757684555556001,1,m,1,1,2,1
21,1tffNone_2_uniform,0.0,0.0,1,t,0,0,2,1
22,1fff_2_uniform,39.59797974644666,3.1384605530736094,1,f,0,0,2,1
23,1mff_2_uniform,50.91168824543142,5.185016263187585,1,m,0,0,2,1
24,1ftt_2_uniform,67.88225099390856,9.237282699339278,1,f,1,1,2,1
25,1ttt_2_uniform,0.0,0.0,1,t,1,1,2,1
26,1mtt_2_uniform,52.32590180780452,5.4791559938524586,1,m,1,1,2,1
27,1tffNone_2_uniform,0.0,0.0,1,t,0,0,2,1
28,1fff_2_uniform,22.627416997969522,1.0242622111260484,1,f,0,0,2,1
29,1mff_2_uniform,26.870057685088806,1.4473346590544613,1,m,0,0,2,1
30,1ftt_2_uniform,73.53910524340094,10.845325760857358,1,f,1,1,2,1
31,1ttt_2_uniform,0.0,0.0,1,t,1,1,2,1
32,1mtt_2_uniform,8.48528137423857,0.14400921658986177,1,m,1,1,2,1
33,1tffNone_2_uniform,0.0,0.0,1,t,0,0,2,1
34,1fff_2_uniform,79.19595949289332,12.583461736004109,1,f,0,0,2,1
35,1mff_2_uniform,21.213203435596427,0.9000144002304037,1,m,0,0,2,1
36,1ftt_2_uniform,19.79898987322333,0.7841536941240483,1,f,1,1,2,1
37,1ttt_2_uniform,0.0,0.0,1,t,1,1,2,1
38,1mtt_2_uniform,36.76955262170047,2.7040108160432643,1,m,1,1,2,1
39,1tffNone_2_uniform,0.0,0.0,1,t,0,0,2,1
40,1fff_2_uniform,65.05382386916237,8.481947801548074,1,f,0,0,2,1
41,1mff_2_uniform,14.142135623730951,0.4,1,m,0,0,2,1
42,1ftt_2_uniform,31.11269837220809,1.9369374777392259,1,f,1,1,2,1
43,1ttt_2_uniform,0.0,0.0,1,t,1,1,2,1
44,1mtt_2_uniform,7.0710678118654755,0.10011573378825922,1,m,1,1,2,1
45,1tffNone_2_uniform,0.0,0.0,1,t,0,0,2,1
46,1fff_2_uniform,28.284271247461902,1.6006402561024409,1,f,0,0,2,1
47,1mff_2_uniform,16.97056274847714,0.5774436090225564,1,m,0,0,2,1
48,1ftt_2_uniform,31.11269837220809,1.9369374777392259,1,f,1,1,2,1
49,1ttt_2_uniform,0.0,0.0,1,t,1,1,2,1
50,1mtt_2_uniform,41.012193308819754,3.3815298507462686,1,m,1,1,2,1
51,1tffNone_2_uniform,0.0,0.0,1,t,0,0,2,1
52,1fff_2_uniform,8.48528137423857,0.14400518418663072,1,f,0,0,2,1
53,1mff_2_uniform,50.91168824543142,5.185327443825619,1,m,0,0,2,1
54,1ftt_2_uniform,14.142135623730951,0.4000400040004001,1,f,1,1,2,1
55,1ttt_2_uniform,0.0,0.0,1,t,1,1,2,1
56,1mtt_2_uniform,18.384776310850235,0.6760676067606761,1,m,1,1,2,1
57,1tffNone_2_uniform,0.0,0.0,1,t,0,0,2,1
58,1fff_2_uniform,87.68124086713189,15.43533342167291,1,f,0,0,2,1
59,1mff_2_uniform,16.97056274847714,0.5760829559456562,1,m,0,0,2,1
60,1ftt_2_exponential,472.34732983261375,502.2533778155967,1,f,1,1,2,0
61,1ttt_2_exponential,0.0,0.0,1,t,1,1,2,0
62,1mtt_2_exponential,210.71782079359116,98.9349376114082,1,m,1,1,2,0
63,1tffNone_2_exponential,0.0,0.0,1,t,0,0,2,0
64,1fff_2_exponential,483.6610383315985,529.8266435343519,1,f,0,0,2,0
65,1mff_2_exponential,2.8284271247461903,0.018634466308884913,1,m,0,0,2,0
66,1ftt_2_exponential,517.6021638285528,618.7029758303273,1,f,1,1,2,0
67,1ttt_2_exponential,0.0,0.0,1,t,1,1,2,0
68,1mtt_2_exponential,268.70057685088807,166.17642320209538,1,m,1,1,2,0
69,1tffNone_2_exponential,0.0,0.0,1,t,0,0,2,0
70,1fff_2_exponential,438.4062043356595,425.2682818895896,1,f,0,0,2,0
71,1mff_2_exponential,0.0,0.0,1,m,0,0,2,0
72,1ftt_2_exponential,446.89148570989806,443.7334470929096,1,f,1,1,2,0
73,1ttt_2_exponential,0.0,0.0,1,t,1,1,2,0
74,1mtt_2_exponential,255.9726547895302,149.10068995649087,1,m,1,1,2,0
75,1tffNone_2_exponential,0.0,0.0,1,t,0,0,2,0
76,1fff_2_exponential,435.57777721091327,419.22539817220843,1,f,0,0,2,0
77,1mff_2_exponential,31.11269837220809,2.147760604567985,1,m,0,0,2,0
78,1ftt_2_exponential,418.60721446243616,384.1189674523008,1,f,1,1,2,0
79,1ttt_2_exponential,0.0,0.0,1,t,1,1,2,0
80,1mtt_2_exponential,222.03152929257593,107.37918806713976,1,m,1,1,2,0
81,1tffNone_2_exponential,0.0,0.0,1,t,0,0,2,0
82,1fff_2_exponential,511.9453095790604,603.2250194486257,1,f,0,0,2,0
83,1mff_2_exponential,11.313708498984761,0.2813186813186813,1,m,0,0,2,0
84,1ftt_2_exponential,472.34732983261375,502.2533778155967,1,f,1,1,2,0
85,1ttt_2_exponential,0.0,0.0,1,t,1,1,2,0
86,1mtt_2_exponential,222.03152929257593,113.27665441176471,1,m,1,1,2,0
87,1tffNone_2_exponential,0.0,0.0,1,t,0,0,2,0
88,1fff_2_exponential,438.4062043356595,425.2682818895896,1,f,0,0,2,0
89,1mff_2_exponential,24.041630560342615,1.3111570847851337,1,m,0,0,2,0
90,1ftt_2_exponential,444.06305858515185,437.52191026443194,1,f,1,1,2,0
91,1ttt_2_exponential,0.0,0.0,1,t,1,1,2,0
92,1mtt_2_exponential,200.8183258569795,86.99816632509977,1,m,1,1,2,0
